country,listed_in,country_share,global_share,gap,Cluster
Afghanistan,Documentaries,0.5,0.04698156100025259,0.4530184389997474,0
Afghanistan,International Movies,0.5,0.14772248884398417,0.3522775111560158,0
Albania,Dramas,0.5,0.1346720552328029,0.3653279447671971,0
Albania,International Movies,0.5,0.14772248884398417,0.3522775111560158,0
Algeria,Classic Movies,0.125,0.00635682411383346,0.11864317588616655,0
Algeria,Dramas,0.375,0.1346720552328029,0.2403279447671971,0
Algeria,Independent Movies,0.125,0.043782099856866215,0.08121790014313379,0
Algeria,International Movies,0.375,0.14772248884398417,0.22727751115601583,0
Angola,Action & Adventure,0.5,0.049760040414246025,0.45023995958575397,0
Angola,International Movies,0.5,0.14772248884398417,0.3522775111560158,0
Argentina,Action & Adventure,0.013215859030837005,0.049760040414246025,-0.03654418138340902,0
Argentina,Children & Family Movies,0.013215859030837005,0.035572956133703794,-0.02235709710286679,0
Argentina,Classic & Cult TV,0.004405286343612335,0.0013471415340574218,0.003058144809554913,0
Argentina,Classic Movies,0.004405286343612335,0.00635682411383346,-0.0019515377702211244,0
Argentina,Comedies,0.06167400881057269,0.08339648059274228,-0.021722471782169593,0
Argentina,Crime TV Shows,0.03524229074889868,0.02277511156015829,0.012467179188740393,0
Argentina,Cult Movies,0.00881057268722467,0.003915130083354383,0.004895442603870288,0
Argentina,Documentaries,0.04405286343612335,0.04698156100025259,-0.0029286975641292373,0
Argentina,Docuseries,0.00881057268722467,0.018354803401532373,-0.009544230714307702,0
Argentina,Dramas,0.15418502202643172,0.1346720552328029,0.019512966793628822,0
Argentina,Horror Movies,0.013215859030837005,0.01928096320619685,-0.006065104175359845,0
Argentina,Independent Movies,0.03524229074889868,0.043782099856866215,-0.008539809107967533,0
Argentina,International Movies,0.2555066079295154,0.14772248884398417,0.10778411908553123,0
Argentina,International TV Shows,0.07048458149779736,0.061673823356066346,0.008810758141731018,0
Argentina,Kids' TV,0.013215859030837005,0.025090511071819484,-0.011874652040982479,0
Argentina,LGBTQ Movies,0.004405286343612335,0.004883388060958154,-0.0004781017173458189,0
Argentina,Movies,0.004405286343612335,0.00294687210575061,0.001458414237861725,0
Argentina,Music & Musicals,0.022026431718061675,0.018060116190957314,0.003966315527104362,0
Argentina,Reality TV,0.004405286343612335,0.011366506693609498,-0.006961220349997163,0
Argentina,Romantic Movies,0.013215859030837005,0.03039488086217058,-0.017179021831333574,0
Argentina,Romantic TV Shows,0.00881057268722467,0.016165698408689064,-0.007355125721464394,0
Argentina,Sci-Fi & Fantasy,0.004405286343612335,0.015997305716931885,-0.011592019373319551,0
Argentina,Spanish-Language TV Shows,0.07929515418502203,0.008503830933737477,0.07079132325128455,0
Argentina,Sports Movies,0.02643171806167401,0.011156015828913025,0.015275702232760984,0
Argentina,Stand-Up Comedy,0.03524229074889868,0.014481771491117285,0.0207605192577814,0
Argentina,TV Comedies,0.00881057268722467,0.026521848951755495,-0.017711276264530826,0
Argentina,TV Dramas,0.00881057268722467,0.03586764334427886,-0.02705707065705419,0
Argentina,TV Horror,0.004405286343612335,0.0036204428727793212,0.000784843470833014,0
Argentina,Teen TV Shows,0.004405286343612335,0.002904773932811316,0.0015005124108010194,0
Argentina,Thrillers,0.03524229074889868,0.033931127389071315,0.0013111633598273664,0
Armenia,Documentaries,0.5,0.04698156100025259,0.4530184389997474,0
Armenia,International Movies,0.5,0.14772248884398417,0.3522775111560158,0
Australia,Action & Adventure,0.038348082595870206,0.049760040414246025,-0.011411957818375819,0
Australia,Anime Series,0.0029498525073746312,0.008082849204344532,-0.005132996696969901,0
Australia,British TV Shows,0.014749262536873156,0.012882040919424097,0.0018672216174490594,0
Australia,Children & Family Movies,0.05604719764011799,0.035572956133703794,0.0204742415064142,0
Australia,Classic Movies,0.014749262536873156,0.00635682411383346,0.008392438423039696,0
Australia,Comedies,0.04424778761061947,0.08339648059274228,-0.03914869298212281,0
Australia,Crime TV Shows,0.02064896755162242,0.02277511156015829,-0.00212614400853587,0
Australia,Cult Movies,0.0029498525073746312,0.003915130083354383,-0.0009652775759797514,0
Australia,Documentaries,0.04424778761061947,0.04698156100025259,-0.0027337733896331193,0
Australia,Docuseries,0.032448377581120944,0.018354803401532373,0.01409357417958857,0
Australia,Dramas,0.11209439528023599,0.1346720552328029,-0.022577659952566914,0
Australia,Faith & Spirituality,0.0058997050147492625,0.0037467373915972047,0.0021529676231520577,0
Australia,Horror Movies,0.008849557522123894,0.01928096320619685,-0.010431405684072956,0
Australia,Independent Movies,0.02359882005899705,0.043782099856866215,-0.020183279797869165,0
Australia,International Movies,0.08849557522123894,0.14772248884398417,-0.059226913622745236,0
Australia,International TV Shows,0.09144542772861357,0.061673823356066346,0.029771604372547222,0
Australia,Kids' TV,0.061946902654867256,0.025090511071819484,0.03685639158304777,0
Australia,LGBTQ Movies,0.011799410029498525,0.004883388060958154,0.006916021968540371,0
Australia,Movies,0.008849557522123894,0.00294687210575061,0.0059026854163732835,0
Australia,Music & Musicals,0.011799410029498525,0.018060116190957314,-0.006260706161458789,0
Australia,Reality TV,0.032448377581120944,0.011366506693609498,0.021081870887511445,0
Australia,Romantic Movies,0.017699115044247787,0.03039488086217058,-0.012695765817922793,0
Australia,Romantic TV Shows,0.008849557522123894,0.016165698408689064,-0.007316140886565171,0
Australia,Sci-Fi & Fantasy,0.02064896755162242,0.015997305716931885,0.004651661834690533,0
Australia,Science & Nature TV,0.017699115044247787,0.004546602677443799,0.013152512366803988,0
Australia,Sports Movies,0.02359882005899705,0.011156015828913025,0.012442804230084025,0
Australia,Stand-Up Comedy,0.008849557522123894,0.014481771491117285,-0.005632213968993391,0
Australia,TV Action & Adventure,0.0058997050147492625,0.008588027279616064,-0.002688322264866802,0
Australia,TV Comedies,0.05014749262536873,0.026521848951755495,0.023625643673613236,0
Australia,TV Dramas,0.05604719764011799,0.03586764334427886,0.020179554295839133,0
Australia,TV Horror,0.0029498525073746312,0.0036204428727793212,-0.00067059036540469,0
Australia,TV Mysteries,0.008849557522123894,0.0047570935421402715,0.004092463979983622,0
Australia,TV Sci-Fi & Fantasy,0.011799410029498525,0.004251915466868738,0.007547494562629787,0
Australia,TV Thrillers,0.0058997050147492625,0.0027784794139934328,0.0031212256007558297,0
Australia,Teen TV Shows,0.0058997050147492625,0.002904773932811316,0.0029949310819379466,0
Australia,Thrillers,0.02654867256637168,0.033931127389071315,-0.007382454822699634,0
Austria,Crime TV Shows,0.03333333333333333,0.02277511156015829,0.010558221773175044,0
Austria,Documentaries,0.1,0.04698156100025259,0.05301843899974742,0
Austria,Dramas,0.2,0.1346720552328029,0.06532794476719711,0
Austria,Horror Movies,0.03333333333333333,0.01928096320619685,0.014052370127136483,0
Austria,Independent Movies,0.13333333333333333,0.043782099856866215,0.08955123347646712,0
Austria,International Movies,0.3,0.14772248884398417,0.15227751115601582,0
Austria,International TV Shows,0.03333333333333333,0.061673823356066346,-0.028340490022733013,0
Austria,Sci-Fi & Fantasy,0.03333333333333333,0.015997305716931885,0.017336027616401448,0
Austria,Sports Movies,0.03333333333333333,0.011156015828913025,0.022177317504420306,0
Austria,TV Dramas,0.03333333333333333,0.03586764334427886,-0.002534310010945527,0
Austria,Thrillers,0.06666666666666667,0.033931127389071315,0.03273553927759535,0
Azerbaijan,International TV Shows,0.3333333333333333,0.061673823356066346,0.27165950997726696,0
Azerbaijan,Romantic TV Shows,0.3333333333333333,0.016165698408689064,0.3171676349246442,0
Azerbaijan,TV Dramas,0.3333333333333333,0.03586764334427886,0.2974656899890544,0
Bahamas,Action & Adventure,1.0,0.049760040414246025,0.950239959585754,0
Bangladesh,Comedies,0.08333333333333333,0.08339648059274228,-6.314725940895216e-05,0
Bangladesh,Dramas,0.3333333333333333,0.1346720552328029,0.19866127810053041,0
Bangladesh,Independent Movies,0.3333333333333333,0.043782099856866215,0.2895512334764671,0
